OBJECTID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape__Area,Shape__Length
11,10005916,GRANT PARISH DETENTION CENTER,485 RICHARDSON DRIVE,COLFAX,LA,71417,-999,(318) 627-3724,COUNTY,OPEN,-999,GRANT,22043,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.grantso.org/corrections,2017/09/29 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,https://www.grantso.org/,NOT AVAILABLE,106,5.04630406794604e-07,0.00334576209671916
12,10006771,L. ROBERT RIVARDE MEMORIAL HOME,1550 GRETNA BOULEVARD,HARVEY,LA,70058,-999,(504) 364-2860,COUNTY,OPEN,-999,JEFFERSON,22051,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.jpjc.org/,2018/03/15 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,NOT AVAILABLE,JUVENILE,52,1.4104255114944e-06,0.00585791329212893
13,10004955,WARREN COUNTY JAIL,115 NORTH HOWARD STREET,INDIANOLA,IA,50125,-999,(515) 690-9220,COUNTY,OPEN,-999,WARREN,19181,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.warrencountyia.gov/government/public-safety/sheriff/,2024/07/12 00:00:00+00,IMAGERY/OTHER,2024/07/12 00:00:00+00,https://www.warrencountyia.gov/government/public-safety/sheriff/,NOT AVAILABLE,-999,3.42555495080887e-07,0.00251571430235805
14,10004092,POINTE COUPEE PARISH DETENTION CENTER,10933 CAJUN II RD,NEW ROADS,LA,70760,-999,(225) 638-5407,COUNTY,OPEN,-999,POINTE COUPEE,22077,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.louisiana.gov/location/pointe-coupee-parish/,2017/09/29 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,http://www.pcpso.org/,NOT AVAILABLE,209,1.09680354398733e-06,0.00442958626216019
15,10000450,TOMOKA CRC,3601 US HWY 92 WEST,DAYTONA BEACH,FL,32124,1002,(386) 254-1187,STATE,OPEN,-999,VOLUSIA,12127,USA,922140,CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/15 00:00:00+00,IMAGERY/OTHER,2024/04/01 00:00:00+00,https://smahealthcare.org/services/volusia-county/,MINIMUM,-999,9.41440021051676e-07,0.00380092226625109
16,10004265,JACKSON COUNTY ADULT DETENTION CENTER,65 BRUCE EVANS DR.,PASCAGOULA,MS,39567,-999,(228) 769-3211,COUNTY,OPEN,-999,JACKSON,28059,USA,922140,CORRECTIONAL INSTITUTIONS,https://sheriff.co.jackson.ms.us/369/Detention-Center,2018/03/28 00:00:00+00,IMAGERY/OTHER,2024/08/15 00:00:00+00,https://sheriff.co.jackson.ms.us/369/Detention-Center,MAXIMUM,-999,1.13062196760438e-06,0.00549853663611116
17,10001613,BUCHANAN COUNTY JAIL,501 FARAON ST,ST. JOSEPH,MO,64501,-999,(816) 236-8800,COUNTY,OPEN,-999,BUCHANAN,29021,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.buchanan.mo.us/corrections,2018/03/26 00:00:00+00,IMAGERY/OTHER,2024/08/12 00:00:00+00,https://www.co.buchanan.mo.us/corrections,MAXIMUM,224,5.7317902246723e-07,0.00501505134142752
18,10005388,CALDWELL COUNTY DETENTION CENTER,280 WEST MAIN STREET,KINGSTON,MO,64650,-999,(816) 585-5245,COUNTY,OPEN,-999,CALDWELL,29025,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.caldwellco.missouri.org/detention-center/,2018/03/26 00:00:00+00,IMAGERY/OTHER,2024/08/12 00:00:00+00,https://www.caldwellco.missouri.org/detention-center/,NOT AVAILABLE,-999,2.24231825995957e-07,0.00207324590085735
19,10005390,CHARITON COUNTY JAIL / SHERIFF,307 SOUTH CHERRY STREET,KEYTESVILLE,MO,65261,-999,(660) 288-3277,COUNTY,OPEN,-999,CHARITON,29041,USA,922140,CORRECTIONAL INSTITUTIONS,https://dps.mo.gov/dir/programs/cvsu/counties/chariton.php,2018/03/26 00:00:00+00,IMAGERY/OTHER,2024/08/12 00:00:00+00,https://dps.mo.gov/dir/programs/cvsu/counties/chariton.php,NOT AVAILABLE,32,1.39933945320081e-07,0.00162007245870671
20,10005544,ITAWAMBA COUNTY JAIL,102 JOE STAUB RD,FULTON,MS,38843,-999,(662) 862-3401,COUNTY,OPEN,-999,ITAWAMBA,28057,USA,922140,CORRECTIONAL INSTITUTIONS,http://itawambacoms.com/sheriff/,2018/03/28 00:00:00+00,IMAGERY,2024/08/15 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,3.78892764274497e-07,0.0026326860665065
21,10001662,ST. MARTIN PARISH CORRECTIONAL CENTER I,400 ST MARTIN ST,ST MARTINVILLE,LA,70582,-999,(337) 394-3071,COUNTY,OPEN,-999,ST. MARTIN,22099,USA,922140,CORRECTIONAL INSTITUTIONS,https://stmartinsheriff.org/about-the-office/,2017/09/29 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,https://stmartinsheriff.org/about-the-office/,MAXIMUM,186,1.50236019180738e-07,0.0017538964287352
22,10004749,ST. HELENA PARISH JAIL,387 SITMAN STREET,GREENSBURG,LA,70441,-999,(888) 200-4905,COUNTY,OPEN,-999,ST. HELENA,22091,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.louisiana.gov/location/st-helena-parish/,2017/09/29 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,https://doc.louisiana.gov/location/st-helena-parish/,NOT AVAILABLE,56,2.05805235964363e-07,0.00243346212646686
23,20000900,JEFFERSON DAVIS PARISH JAIL,1704 SHANKLAND AVE,JENNINGS,LA,70546,-999,(337) 824-3850,COUNTY,OPEN,-999,JEFFERSON DAVIS,22053,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.jdpso.org/page.php?id=10,2018/03/15 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,https://www.jdpso.org/page.php?id=10,NOT AVAILABLE,62,3.72137719750754e-07,0.00265582617388171
24,10004962,WAPELLO COUNTY JAIL,330 WEST 2ND STREET,OTTUMWA,IA,52501,-999,(641) 684-4350,COUNTY,OPEN,100,WAPELLO,19179,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.wapellocounty.org/sheriff_and_jail/,2024/07/12 00:00:00+00,IMAGERY/OTHER,2024/07/12 00:00:00+00,https://www.wapellocounty.org/sheriff_and_jail/,NOT AVAILABLE,148,4.60320279671578e-07,0.00368067263493498
25,10004934,WINNESHIEK COUNTY JAIL,400 CLAIBORNE DRIVE,DECORAH,IA,52101,-999,(563) 387-4096,COUNTY,OPEN,-999,WINNESHIEK,19191,USA,922140,CORRECTIONAL INSTITUTIONS,https://winneshiekcounty.iowa.gov/departments/sheriff/winneshiek-county-jail,2018/02/28 00:00:00+00,IMAGERY/OTHER,2024/07/12 00:00:00+00,https://winneshiekcounty.iowa.gov/departments/sheriff/winneshiek-county-jail,NOT AVAILABLE,40,2.53118059845292e-07,0.00232751780839796
26,10006251,TERREBONNE PARISH ANNEX JAIL,7857 MAIN ST.,HOUMA,LA,70361,-999,(985) 876-2500,COUNTY,OPEN,-999,TERREBONNE,22109,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.louisiana.gov/location/terrebone-parish/,2017/09/29 00:00:00+00,IMAGERY/OTHER,2024/08/19 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,68,1.83487827598583e-07,0.00171618142800636
27,10002418,WEST BATON ROUGE PARISH DETENTION CENTER,1150 NORTHWEST DR,PORT ALLEN,LA,70767,-999,(225) 346-6400,COUNTY,OPEN,-999,WEST BATON ROUGE,22121,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.wbrsheriff.org/640/Detention-Center,2024/08/19 00:00:00+00,IMAGERY/OTHER,2024/08/19 00:00:00+00,https://www.wbrsheriff.org/640/Detention-Center,NOT AVAILABLE,330,8.90418050403241e-07,0.00577789613020853
28,10006781,WEST FELICIANA PARISH TRANSITIONAL WORK PROGRAM,9942 WEST FELICIANA PARKWAY,ST. FRANCISVILLE,LA,70775,-999,(225) 635-3807,COUNTY,OPEN,-999,WEST FELICIANA,22125,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.wfpso.org/Detention/Transitional-Work-Program,2017/09/29 00:00:00+00,IMAGERY/OTHER,2024/08/19 00:00:00+00,https://www.wfpso.org/Detention/Transitional-Work-Program,NOT AVAILABLE,276,3.31942601405899e-07,0.00253786012005158
29,10005914,WINN PARISH DETENTION CENTER,460 THOMAS MILL RD,WINNFIELD,LA,71483,-999,(318) 209-4277,COUNTY,OPEN,-999,WINN,22127,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.louisiana.gov/location/winn-parish/,2024/08/19 00:00:00+00,IMAGERY/OTHER,2024/08/19 00:00:00+00,https://winnsheriff.org/jail,NOT AVAILABLE,-999,1.72706222656416e-07,0.00191390421249756
30,10006273,TAMA COUNTY JAIL,100 N. MAIN ST,TOLEDO,IA,52342,0034,(641) 484-3760,COUNTY,OPEN,-999,TAMA,19171,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.tamacountysheriff.org/,2018/02/28 00:00:00+00,IMAGERY/OTHER,2024/07/12 00:00:00+00,https://www.tamacountysheriff.org/,NOT AVAILABLE,-999,6.64874733047327e-08,0.00111716888686704
31,10004743,GARRETT COUNTY DETENTION CENTER,311 EAST ALDER STREET,OAKLAND,MD,21550,-999,(301) 334-5055,COUNTY,OPEN,42,GARRETT,24023,USA,922140,CORRECTIONAL INSTITUTIONS,https://sheriff.garrettcountymd.gov/detention-center,2024/08/19 00:00:00+00,IMAGERY/OTHER,2024/08/19 00:00:00+00,https://sheriff.garrettcountymd.gov/detention-center,MAXIMUM,72,3.70385123460437e-07,0.00341670406937632
32,10004970,VAN BUREN COUNTY JAIL,907 BROAD STREET,KEOSAUQUA,IA,52565,-999,(319) 293-3426,COUNTY,OPEN,-999,VAN BUREN,19177,USA,922140,CORRECTIONAL INSTITUTIONS,https://vanburenia.wixsite.com/vbso/vbso-jail,2018/02/28 00:00:00+00,IMAGERY/OTHER,2024/07/12 00:00:00+00,https://vanburenia.wixsite.com/vbso/vbso-jail,NOT AVAILABLE,-999,9.95953541860217e-08,0.00141843273883548
33,10006135,ADAMS COUNTY JAIL,911 W PEACEKEEPERS WAY,DECATUR,IN,46733,0608,(260) 724-5345,COUNTY,OPEN,-999,ADAMS,18001,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.adams.in.us/186/Sheriffs-Department,2018/03/05 00:00:00+00,IMAGERY/OTHER,2024/07/30 00:00:00+00,https://www.co.adams.in.us/186/Sheriffs-Department,NOT AVAILABLE,-999,5.49239530300838e-07,0.00339998357932467
34,10006744,CASS COUNTY JAIL,100 COURT PARK,LOGANSPORT,IN,46947,-999,(574) 753-7800,COUNTY,OPEN,-999,CASS,18017,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.in.gov/counties/cass/departments/county-jail/,2024/07/30 00:00:00+00,IMAGERY/OTHER,2024/07/30 00:00:00+00,https://www.in.gov/counties/cass/departments/county-jail/,NOT AVAILABLE,-999,6.96284814694081e-07,0.00398521862148406
35,10004302,IOWA COUNTY JAIL,960 FRANKLYN AVENUE,MARENGO,IA,52301,-999,(319) 642-7307,COUNTY,OPEN,-999,IOWA,19095,USA,922140,CORRECTIONAL INSTITUTIONS,https://iowacounty.iowa.gov/sheriff/,2018/02/27 00:00:00+00,IMAGERY/OTHER,2024/07/10 00:00:00+00,https://iowacounty.iowa.gov/sheriff/,NOT AVAILABLE,-999,1.66990275829448e-07,0.00163946930189428
36,10006745,CASS/PULASKI COMMUNITY CORRECTIONS,520 HIGH STREET,LOGANSPORT,IN,46947,-999,(574) 753-7706,COUNTY,OPEN,-999,CASS,18017,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.casspulaskicommunitycorrections.com/,2024/07/30 00:00:00+00,IMAGERY/OTHER,2024/07/30 00:00:00+00,https://www.casspulaskicommunitycorrections.com/,NOT AVAILABLE,-999,1.57389195010182e-07,0.00177267214213
37,10005582,LAWRENCE COUNTY JAIL,1565 FE SELLERS HIGHWAY,MONTICELLO,MS,39654,-999,(601) 587-2550,COUNTY,OPEN,-999,LAWRENCE,28077,USA,922140,CORRECTIONAL INSTITUTIONS,NOT AVAILABLE,2024/08/15 00:00:00+00,IMAGERY,2024/08/15 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,3.33946218233905e-07,0.00298339098947274
38,10005153,ALPENA COUNTY JAIL / SHERIFF,4900 M32 W,ALPENA,MI,49707,-999,(989) 354-9830,COUNTY,OPEN,-999,ALPENA,26007,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.alpenasheriff.com/168/Corrections-Jail,2024/08/06 00:00:00+00,IMAGERY/OTHER,2024/08/06 00:00:00+00,https://www.alpenasheriff.com/168/Corrections-Jail,NOT AVAILABLE,-999,2.95575773634482e-07,0.00291128505586233
39,10006936,HALE HO'OMALU (KAPOLEI) JUVENILE DETENTION FACILITY,287 KAMOKILA BLVD,KAPOLEI,HI,96707,-999,(808) 954-8400,STATE,OPEN,-999,HONOLULU,15003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.courts.state.hi.us/courts/family/family_court_programs,2024/02/21 00:00:00+00,IMAGERY,2024/02/21 00:00:00+00,NOT AVAILABLE,JUVENILE,-999,4.89538479087059e-07,0.00304232189318295
40,10004024,FCI CUMBERLAND,14601 BURBRIDGE RD SE,CUMBERLAND,MD,21502,-999,(301) 784-1000,FEDERAL,OPEN,787,ALLEGANY,24001,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/cum/,2016/02/16 00:00:00+00,IMAGERY/OTHER,2024/01/19 00:00:00+00,https://www.bop.gov/locations/institutions/cum/,MEDIUM,-999,1.75687298451521e-05,0.0162582928091852
41,10001858,WEBSTER COUNTY JAIL,702 1ST AVENUE SOUTH,FORT DODGE,IA,50501,-999,(515) 573-1410,COUNTY,OPEN,-999,WEBSTER,19187,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.webstercountyia.gov/departments/sheriff/index.php,2024/07/12 00:00:00+00,IMAGERY/OTHER,2024/07/12 00:00:00+00,https://www.webstercountyia.gov/departments/sheriff/index.php,NOT AVAILABLE,-999,1.62827973326785e-07,0.00163813509606278
42,10002798,MIDLAND COUNTY CENTRAL DETENTION CENTER,400 S MAIN ST,MIDLAND,TX,79701,-999,(432) 688-4745,COUNTY,OPEN,438,MIDLAND,48329,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.midland.tx.us/200/Detention,2018/04/30 00:00:00+00,IMAGERY/OTHER,2020/02/27 00:00:00+00,https://www.co.midland.tx.us/departments/SO/Pages/default.aspx,MAXIMUM,498,2.57905821854365e-06,0.00727474414751084
43,10002796,BARBARA CULVER JUVENILE DETENTION CENTER,3800 N LAMESA RD,MIDLAND,TX,79701,-999,(432) 688-4541,COUNTY,OPEN,-999,MIDLAND,48329,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.tjjd.texas.gov/publications/other/searchfacilityregistryresults.aspx?SelectedFacilityType=YKSBbGCMUWM=&SelectedSortBy=laExhobORj5ZHimppFKN0Q==&IncludeInactive=bZL7qeN3IjY=,2018/04/30 00:00:00+00,IMAGERY/OTHER,2020/02/11 00:00:00+00,https://www.co.midland.tx.us/163/Barbara-Culver-Juvenile-Center,JUVENILE,24,9.89765112535679e-07,0.00464525058647105
44,10006775,ORLEANS JUSTICE CENTER,2800 PERDIDO ST,NEW ORLEANS,LA,70119,-999,(504) 202-9339,COUNTY,OPEN,-999,ORLEANS,22071,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.opso.us/index.php?option=com_simplelists&view=simplelist&layout=toggle&category_id=97&Itemid=726,2024/03/05 00:00:00+00,IMAGERY/OTHER,2024/03/05 00:00:00+00,https://www.opso.us/index.php?option=com_content&view=article&id=400&Itemid=809,NOT AVAILABLE,1438,1.37129950417147e-06,0.0046796513980938
45,10004650,OPA LOCKA COMMUNITY RELEASE CENTER,5400 NORTHWEST 135TH STREET,OPA LOCKA,FL,33054,4310,(305) 827-4057,STATE,OPEN,-999,MIAMI-DADE,12086,USA,922140,CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/15 00:00:00+00,IMAGERY/OTHER,2024/04/01 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,1.84785767487483e-06,0.00680068521831938
46,10002836,SAN JACINTO COUNTY JAIL,75 W CEDAR AVE,COLDSPRING,TX,77331,-999,(936) 653-4367,COUNTY,OPEN,96,SAN JACINTO,48407,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/03/04 00:00:00+00,http://www.co.san-jacinto.tx.us/page/sanjacinto.sheriff,NOT AVAILABLE,144,3.07571781377192e-07,0.00232725233843933
47,10006939,HOPE HALL,811 E FRANKLIN ST,EVANSVILLE,IN,47711,-999,(812) 423-1949,STATE,OPEN,-999,VANDERBURGH,18163,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.in.gov/idoc/2850.htm,2020/04/22 00:00:00+00,IMAGERY,2024/04/02 00:00:00+00,https://www.in.gov/idoc/2850.htm,NOT AVAILABLE,100,1.60388253789279e-07,0.00206581478804904
48,10006303,FARMVILLE DETENTION CENTER,508 WATERWORKS RD,FARMVILLE,VA,23901,-999,(434) 395-8114,FEDERAL,OPEN,185,PRINCE EDWARD,51147,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ice.gov/detain/detention-management,2024/04/02 00:00:00+00,IMAGERY/OTHER,2024/04/02 00:00:00+00,http://ica-farmville.com/,NOT AVAILABLE,-999,2.87882062366407e-06,0.00734639018205731
49,10004093,EVANGELINE PARISH JAIL,200 COURT ST,VILLE PLATTE,LA,70586,-999,(337) 363-2161,COUNTY,OPEN,-999,EVANGELINE,22039,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.evangelineparishsheriff.org/corrections,2018/03/15 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,https://www.evangelineparishsheriff.org/corrections,NOT AVAILABLE,72,1.65334995472222e-07,0.00209794387511011
50,10001650,AVOYELLES WOMEN'S CORRECTIONAL CENTER,640 CHOUPIQUE LN,COTTONPORT,LA,71327,-999,(318) 876-2871,COUNTY,OPEN,-999,AVOYELLES,22009,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.louisiana.gov/about-the-dpsc/facility-locations/,2024/08/05 00:00:00+00,IMAGERY/OTHER,2024/08/05 00:00:00+00,https://avoyellesso.com/corrections/,NOT AVAILABLE,300,4.51115283794934e-07,0.0031070151793139
51,10004957,WASHINGTON COUNTY JAIL,2185 LEXINGTON BOULEVARD,WASHINGTON,IA,52353,-999,(319) 653-5902,COUNTY,OPEN,-999,WASHINGTON,19183,USA,922140,CORRECTIONAL INSTITUTIONS,https://washingtoncounty.iowa.gov/158/Sheriff,2024/07/12 00:00:00+00,IMAGERY/OTHER,2024/07/12 00:00:00+00,https://washingtoncounty.iowa.gov/158/Sheriff,NOT AVAILABLE,-999,2.37162566918414e-07,0.00247941149611019
52,10005169,ARENAC COUNTY JAIL,126 GROVE STREET,STANDISH,MI,48658,-999,(989) 846-3002,COUNTY,OPEN,-999,ARENAC,26011,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.arenaccountymi.gov/Sheriff/Sheriff/,2018/03/20 00:00:00+00,IMAGERY/OTHER,2024/08/06 00:00:00+00,https://www.arenaccountymi.gov/Sheriff/Sheriff/,NOT AVAILABLE,46,1.37549932333059e-07,0.00187259176265221
53,10005438,PREBLE COUNTY JAIL,1139 PREBLE DRIVE,EATON,OH,45320,-999,(937) 456-6323,COUNTY,OPEN,79,PREBLE,39135,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.preblecountysheriff.org/jail/,2018/04/12 00:00:00+00,IMAGERY/OTHER,2020/02/20 00:00:00+00,http://www.preblecountysheriff.org/jail/,NOT AVAILABLE,70,5.01868953506346e-07,0.00302056088861326
54,10004413,SCHLEICHER COUNTY JAIL,4 SOUTH DIVIDE STREET,ELDORADO,TX,76936,-999,(325) 853-2737,COUNTY,OPEN,5,SCHLEICHER,48413,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/03/04 00:00:00+00,http://www.schleichercountytexas.us/Sheriff/Sheriff.htm,NOT AVAILABLE,15,7.85971678851638e-08,0.00115854006929036
55,10004637,COLLIER COUNTY IMMOKALEE JAIL,302 STOCKADE RD,IMMOKALEE,FL,34142,-999,(239) 657-2878,COUNTY,OPEN,-999,COLLIER,12021,USA,922140,CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/pub/jails/2024/2024_02%20February%20FCDF.pdf,2024/02/29 00:00:00+00,IMAGERY/OTHER,2024/04/05 00:00:00+00,https://www.colliersheriff.org/my-ccso/corrections-department/corrections-jail-information,MAXIMUM,-999,2.62515186477685e-06,0.00721721249341688
56,10001859,WATERLOO POLICE DEPARTMENT,715 MULBERRY ST,WATERLOO,IA,50703,-999,(319) 291-4340,LOCAL,OPEN,57,BLACK HAWK,19013,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.waterloopolice.com/,2016/02/15 00:00:00+00,UNVERIFIED,2024/08/19 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,1.57760268848506e-07,0.00179924324904195
57,10004098,ACADIA PARISH CORRECTIONS FACILITY,1037 CAPITOL AVE,CROWLEY,LA,70526,-999,(337) 788-8737,COUNTY,OPEN,-999,ACADIA,22001,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.louisiana.gov/about-the-dpsc/facility-locations/,2024/08/05 00:00:00+00,IMAGERY/OTHER,2024/08/05 00:00:00+00,http://www.apso.org/corrections.html,NOT AVAILABLE,190,5.24698862136574e-07,0.00305460351526691
58,10001082,ANAMOSA STATE PENITENTIARY,406 N HIGH ST,ANAMOSA,IA,52205,-999,(319) 462-3504,STATE,OPEN,927,JONES,19105,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc-search.iowa.gov/dailystatistics,2024/02/23 00:00:00+00,IMAGERY/OTHER,2024/02/23 00:00:00+00,https://doc.iowa.gov/find-facility/asp,MAXIMUM,908,6.11585733167885e-06,0.00998445967941288
